,SiteName,BlockNo,PlotNo,Subplot.No,Subplot.X,Subplot.Y,X4.waygrass,achmol,aegtri,agohet,aircar,amsmen,anaarv,astragalus,avebar,avefat,bare,brimax,brimin,brocar,brodia,brohor,bromad,broster,calcil,callut,calpar,cardamine,carpac,casatt,cenmil,cenmil..not..,cerglo,clapur,collinsia,conarv,croset,cynech,daucpusil,delgra,delvar,diccap,dicmul,elygla,erobot,eupspa,filgal,galapa,galpar,gerdis,germol,greenbrush,hypgla,laccil,lacser,lagophylla,latsph,linbic,linpar,lolmul,lomatium,longawnbrome,lotmic,lotpur,lotus,lotwra,lupbic,luzcom,madgra,miccal,naspul,navpub,notago,oak,petdub,pink.cup.opposite,plalan,planot,poasecunda,purplecup,purpleflower,rancal,rock,sanbip,scapec,shearv,shieldseed,sidalcea,sisbel,taecap,thycur,torilis,trialbo,tribif,tricil,tridub,trieri,trifuc,trigra,trihir,trihya,trilax,trimicroceph,trimicrodon,triwhite,triwil,triwra,unkforb,unktar,vicsat,vicvil,vulmyu,whiterib,whorledtarweed,wood,zigadenus
1420,HREC,4,1,12,4,2,,,,,,,,,2,,25,,,,,3,,,,,,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,2,4,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1436,HREC,4,1,12,4,4,,,,,,,,,2,,8,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1452,HREC,4,1,12,4,6,,,,,,,,,2,,15,,,,,3,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1468,HREC,4,1,12,4,8,,,,,,,,,3,,10,,,,,4,,,,,,,,,,,,3,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,2,,3,1,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,,,,,,,,2,,,,,,,,,,,,,
1421,HREC,4,1,13,5,2,,,,,,,,,2,,20,,,,,2,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,2,4,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
1437,HREC,4,1,13,5,4,,,,,,,,,2,,,,,,,3,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,4,2,2,,,,,,,,,,,,,,,,,1,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
1453,HREC,4,1,13,5,6,,,,,,,,,3,,,3,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,4,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,
1469,HREC,4,1,13,5,8,,,,,,,,,4,,3,3,,,,4,,,,,,,,,,,,2,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,2,2,,,,,,,,,,,,,1,,,,,,,,,,,,,
1422,HREC,4,1,14,6,2,,,,,,,,,2,,12,,,,,2,,,,,,,,,,,,2,,,,,2,,,1,,,,,,,,,1,,,,,,,,,,,,,4,,1,2,,2,4,4,,,,,,,,,,,,,,,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1438,HREC,4,1,14,6,4,,,,,,,,,2,,4,,,,,3,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,,4,2,3,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1454,HREC,4,1,14,6,6,,,,,,,,,3,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
1470,HREC,4,1,14,6,8,,,,,,,,,5,,,2,,,,2,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,1,,,,,,,,,,,,,
1423,HREC,4,1,15,7,2,,,,,,,,,3,,8,,,,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,4,,1,2,,2,4,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1439,HREC,4,1,15,7,4,,,,,,,,,2,,4,,,,,2,,,,,,,,,,,,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1455,HREC,4,1,15,7,6,,,2,,,,,,4,,,2,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1471,HREC,4,1,15,7,8,,,,,,,,,3,,,3,,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
1424,HREC,4,1,16,8,2,,,3,,,,,,2,,25,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1440,HREC,4,1,16,8,4,,,,,,,,,2,,7,,,,,3,,,,,,,,,,,,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,3,4,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,
1456,HREC,4,1,16,8,6,,,,,,,,,4,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,2,,3,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
1472,HREC,4,1,16,8,8,1,,,,,,,,5,,,2,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,
1410,HREC,4,1,2,2,1,,,,,1,,,,1,,50,,,,,1,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,3,4,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1426,HREC,4,1,2,2,3,,,,,1,,,,2,,8,,,,,4,,,,,,,,,,,,3,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,1,3,,,,,2,3,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,
1442,HREC,4,1,2,2,5,,,,,,,,,1,,40,,,,,2,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,2,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1458,HREC,4,1,2,2,7,,,,,,,,,2,,15,,,,,3,,,,,,,,,,,,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,2,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
1411,HREC,4,1,3,3,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,1,2,,,2,,2,4,4,2,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
1427,HREC,4,1,3,3,3,,,,,,,,,2,,35,,,,,4,,,,,,,,,,,,3,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,2,,4,2,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1443,HREC,4,1,3,3,5,,,,,,,,,3,,1,,,,,3,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1459,HREC,4,1,3,3,7,,,,,,,,,1,,10,,,,,3,,,,,,,,,,,,3,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,
1412,HREC,4,1,4,4,1,,,,,1,,,,1,,8,,,,,,,,,,,,,,,,,2,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,3,,,1,,2,3,4,,,,,,,,,,,,,,,,,1,2,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
1428,HREC,4,1,4,4,3,,,,,,,,,2,,5,,,,,4,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,4,2,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1444,HREC,4,1,4,4,5,,,,,,,,,3,,5,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1460,HREC,4,1,4,4,7,,,,,,,,,4,,2,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1413,HREC,4,1,5,5,1,,,,,2,,,,1,,40,1,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,1,,,,,,,,,,1,,,,,3,,,,,2,4,3,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
1429,HREC,4,1,5,5,3,,,,,1,,,,2,,,,,,,3,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,2,,3,4,2,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1445,HREC,4,1,5,5,5,,,,,,,,,2,,,1,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,4,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,
1461,HREC,4,1,5,5,7,,,,,,,,,4,,5,2,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1414,HREC,4,1,6,6,1,,,,,,,,,1,,60,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,,2,3,3,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,
1430,HREC,4,1,6,6,3,,,,,,,,,2,,7,,,,,3,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,3,,2,4,3,1,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,1,,,,,,,,,,,,,
1446,HREC,4,1,6,6,5,,,,,,,,,1,,20,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1462,HREC,4,1,6,6,7,,,,,,,,,4,,,2,,,,2,,,,,,,,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
1415,HREC,4,1,7,7,1,,,,,,,,,3,,40,,,,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,2,1,,2,4,2,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1431,HREC,4,1,7,7,3,,,,,,,,,2,,85,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,2,,2,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1447,HREC,4,1,7,7,5,,,1,,,,,,3,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,4,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,
1463,HREC,4,1,7,7,7,,,,,,,,,4,,,3,,,,2,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
1416,HREC,4,1,8,8,1,,,,,,,,,4,,,,,,,,,,,,,,,,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,,2,4,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1432,HREC,4,1,8,8,3,,,,,,,,,4,,20,,,,,2,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1448,HREC,4,1,8,8,5,,,,,,,,,4,,,,,,,3,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1464,HREC,4,1,8,8,7,,,,,,,,,4,,,2,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4,,,,,,,,,,,,,,,,,,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,
1417,HREC,4,1,9,1,2,,,,,,,,,1,,40,,,,,1,,,,,,,,,,,,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,4,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
1433,HREC,4,1,9,1,4,,,,,,,,,2,,8,,,,,2,,,,,,,,,,,,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5,2,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1449,HREC,4,1,9,1,6,,,,,,,,,2,,2,,,,,3,,,,,,,,,,,,2,,,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,4,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,2,,,,,,,,,,,,,
1465,HREC,4,1,9,1,8,,,,,,,,,2,,,2,,,1,2,,,,,,,,,,,,2,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,4,,,2,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,
1473,HREC,4,2,1,1,1,,,4,,2,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,4,,1,,,,,,,,,,,,,,,,,,1,,2,,1,,,,,,,,,1,,,,,,,,,,,,,
1489,HREC,4,2,1,1,3,,,,,,,,,3,,5,3,,,,4,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,2,2,,,,,,,,,,,,,,,,,,1,2,3,,2,,,,,,,,,,,1,,,,,,,,,,,,,
1505,HREC,4,2,1,1,5,,,,,,,,,2,,5,5,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,2,,,2,,1,3,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,1,,,,,,,,,,,,,
1521,HREC,4,2,1,1,7,,,,,,,,,2,,,4,,,,3,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,2,,2,2,,,,,,,,,,,,,,,,,,2,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,
1482,HREC,4,2,10,2,2,,,1,,2,,,,4,,,3,,,,2,,,,,,,,,,,,2,,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,2,2,,,3,,1,5,3,,,,,,,,,,,,,,,,,2,,2,,1,,,,,,,,,,,2,,,,,,,,,,,,,
1498,HREC,4,2,10,2,4,,,,,,,,,2,,,5,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,2,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,
1514,HREC,4,2,10,2,6,,2,,,,,,,2,,,2,,,,4,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,2,,2,3,,,,,,,,,,,,,,,,,,2,,2,,2,,,,,,,,,,,2,1,,,,,,,,,,,,
1530,HREC,4,2,10,2,8,,,,,,,,,2,,,2,,,1,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,2,,4,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1483,HREC,4,2,11,3,2,,1,,,1,,,,4,,,3,,,,2,,,,,,,,,,,,2,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,
1499,HREC,4,2,11,3,4,,,,,,,,,2,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,2,,,2,,3,2,,,,,,,,,,,,,,,,,,1,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,
1515,HREC,4,2,11,3,6,,,,,,,,,2,,,5,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,1,3,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,1,,,,,,,,,,,,
1531,HREC,4,2,11,3,8,,,,,,,,,2,,,3,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,3,2,3,1,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,2,1,,,,,,,,,,,,
1484,HREC,4,2,12,4,2,,2,,,1,,,,3,,,4,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,3,4,,,,,,,,,,,,,,,,,,2,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,
1500,HREC,4,2,12,4,4,,,,,,,,,2,,,4,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,2,,,3,,,,,,,,,,,,,,,,,,2,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,
1516,HREC,4,2,12,4,6,,,,,,,,,2,,,5,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,3,,2,,,,,,,,,,,2,,,,,,,,,,,,,
1532,HREC,4,2,12,4,8,1,1,,,,,,,2,,,3,,,,3,,,,,,,,,,,,2,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,4,2,2,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,
1485,HREC,4,2,13,5,2,,,,,2,,,,2,,,5,,,,1,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,2,,,3,4,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,
1501,HREC,4,2,13,5,4,,,,,2,,,,2,,,4,,,,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,2,3,,1,,,,,,,,,,2,,2,,,,,,3,,1,,,,,,,,,,,,1,,,,,,,,,,,,
1517,HREC,4,2,13,5,6,,,,,,,,,1,,,5,,,,1,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,1,,,,,,,,,,,,1,2,,,,,,,3,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
1533,HREC,4,2,13,5,8,,,,,1,,,,1,,,4,,,1,2,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,1,4,1,,,,,,,,,,2,,,,,,,1,,,2,,,,,,,,,,,1,1,,,,,,,,,,,,
1486,HREC,4,2,14,6,2,,,,,1,,,,2,,,4,,,,2,,,,,,,,,,,,2,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,4,,1,1,,,,,,,,,,,,,,,,,,,,,,,
1502,HREC,4,2,14,6,4,,1,,,,,,,2,,,5,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,1,,,,,,,,,,2,,2,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,
1518,HREC,4,2,14,6,6,,1,,,1,,,,2,,,4,1,,,3,,,,,,,,,,,,,,,,1,2,,,,,,,,,,1,,1,,,,,,,,,,,,,2,,,,,,3,,,,,,,,,,,,2,,,,,,2,,2,,2,,,,,,,,,,,,1,,,,,,,,,,,,
1534,HREC,4,2,14,6,8,2,,,,2,,,,1,,,4,,,,2,,,,,,,,,,,,1,,,,2,1,,,,,1,,,,,,,1,,,,,,3,,1,,,,,,,,,,,1,2,1,,,,2,,,,,,3,,,,,,,,,,2,,,,3,,,,,,,1,,,,,,,,,,,,,
1487,HREC,4,2,15,7,2,,,,,3,,,,2,,,4,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,2,,,,5,2,2,,,,,,,,,,,,,,,,,2,3,,1,,1,,,,,,,,,,,,,,,,,,,,,,
1503,HREC,4,2,15,7,4,,,,,,,,,2,,,6,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,,,,,,,,,,,,,,,,,,2,2,,1,,,,,,,,,,,,1,,,,,,,,,,,,
1519,HREC,4,2,15,7,6,,,,,1,,,,2,,,5,,,,2,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,1,,,,,,,,,,,,,1,,,,,,2,2,,,,,,,,,,,2,,,,,,,1,2,,2,,,,,,,,,,,1,,,,,,,,,,,,,
1535,HREC,4,2,15,7,8,,,,,,,,,,,,4,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,2,,,,2,,,,,,,1,,,,,,,,,,,,,
1488,HREC,4,2,16,8,2,,,,,2,,,,1,,,5,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,2,,,,,,,,,,,,,,,,,,,,3,,1,3,,,,,,,,,,1,,,,,,,,,,,,,
1504,HREC,4,2,16,8,4,,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,4,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,
1520,HREC,4,2,16,8,6,,2,,,,,,,1,,,5,,,,3,,,,,,,,,,,,1,,,,2,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,1,,2,,1,,,,,,,,,1,1,,,,,,,,,,,,
1536,HREC,4,2,16,8,8,,,,,,,,,,,,3,,1,,1,,,,,,,,,,,,1,,,,2,2,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,1,,1,,,,,,,,,,,,3,,,,,,1,,,,2,,,,2,,,,,,,,,,,,,,2,,,,,,
1474,HREC,4,2,2,2,1,,,3,,1,,,,4,,,2,,,,3,,,,,,,,,,,,1,,,,1,2,,,,,,,,,,1,,,,,,,,,,,,,,2,2,,,2,,1,5,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
1490,HREC,4,2,2,2,3,,,,,2,,,,3,,,3,,,,3,,,,,,,,,,,,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,,3,3,,,,,,,,,,,,,,,,,,,,2,,2,1,,,,,,,,,,1,,,,,,,,,,,,,
1506,HREC,4,2,2,2,5,,,,,,,,,2,,,6,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,1,2,,,,,,,,,,,,,,,,,,2,2,,,2,,,,,,,,,,,,,,,,,,,,,,,
1522,HREC,4,2,2,2,7,,,,,,,,,2,,,5,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,2,,,,,2,,3,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
1475,HREC,4,2,3,3,1,,,,,2,,,,4,,,2,,,,1,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,2,4,,1,,,,,,,,,,,,,,,,,2,2,,1,,,,,,,,,,,1,,,,,,,,,,,,,
1491,HREC,4,2,3,3,3,,,2,,1,,,,3,,,3,,,,2,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,1,2,,,3,,,4,,,,,,,,,,,,,,,,,,1,1,3,,1,,,,,,,,,,,2,,,,,,,,,,,,,
1507,HREC,4,2,3,3,5,,,,,,,,,1,,,5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,1,1,3,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,1,,,,,,,,,,,,
1523,HREC,4,2,3,3,7,,,,,,,,,1,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,,,,,,,,,,,,,,,,,,,3,,2,,,,,,,,,,,,1,,,,,,,,,,,,
1476,HREC,4,2,4,4,1,,,,,1,,,,4,,,3,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,2,,,4,,,,,,,,,,,,,,,,,,,,2,,1,2,2,,,,,,,,,2,,,,,,,,,,,,,
1492,HREC,4,2,4,4,3,,1,,,,,,,3,,,3,,,,2,,,,,,,,,,,,2,,,,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,2,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,
1508,HREC,4,2,4,4,5,,,,,,,,,2,,,5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,2,,,,,,,,,,,2,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,
1524,HREC,4,2,4,4,7,,1,,,,,,,2,,,5,,,,2,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,2,1,2,,,,,,,,,,,1,,,,,,1,,1,,1,,,,,,,,,,,1,2,,,,,,,,,,,,
1477,HREC,4,2,5,5,1,,,,,1,,,,2,,,5,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,3,,,,,,,,,,,,,,,,,,,,2,,1,,1,,,,,,,,,1,,,,,,,,,,,,,
